epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,9021.86,0.45505,0.86007,0.38572,0.89926,0,0.92644,0.93632,0.9667,0.90277,0.92843,0.93826,0.96787,0.86541,0.35723,0.73293,0.31574,0.8101,0,0.000307,0.000307,0.000307
72,9127.79,0.45587,0.86196,0.38463,0.89702,0,0.93046,0.94396,0.96451,0.90116,0.93758,0.93898,0.96681,0.86352,0.36862,0.73712,0.31024,0.81588,0,0.0002971,0.0002971,0.0002971
73,9233.67,0.452,0.85133,0.38482,0.89787,0,0.9315,0.9285,0.9655,0.9012,0.93205,0.92906,0.96654,0.86502,0.3552,0.73379,0.31835,0.81021,0,0.0002872,0.0002872,0.0002872
74,9339.98,0.45291,0.8567,0.38291,0.89961,0,0.93647,0.94126,0.96596,0.90154,0.93952,0.9412,0.96697,0.86007,0.35544,0.73237,0.30184,0.80868,0,0.0002773,0.0002773,0.0002773
75,9449.05,0.45448,0.85622,0.38062,0.89694,0,0.9359,0.94213,0.96835,0.90194,0.93644,0.94269,0.9683,0.86404,0.35912,0.73204,0.30439,0.81035,0,0.0002674,0.0002674,0.0002674
76,9555.16,0.45006,0.85591,0.37938,0.89693,0,0.93233,0.93946,0.96765,0.90521,0.93287,0.94003,0.96808,0.86603,0.35265,0.71989,0.30199,0.80416,0,0.0002575,0.0002575,0.0002575
77,9662.1,0.44748,0.84899,0.3761,0.89582,0,0.93548,0.93959,0.96886,0.90639,0.93602,0.94015,0.96924,0.86688,0.35159,0.71971,0.29831,0.80688,0,0.0002476,0.0002476,0.0002476
78,9767.79,0.44738,0.84473,0.37298,0.89768,0,0.93236,0.9435,0.96516,0.90299,0.93349,0.9446,0.96693,0.86235,0.35128,0.71846,0.30722,0.80656,0,0.0002377,0.0002377,0.0002377
79,9873.86,0.44669,0.83933,0.37254,0.89456,0,0.92513,0.94349,0.96676,0.9042,0.92627,0.94451,0.96835,0.86685,0.34904,0.72129,0.30347,0.80498,0,0.0002278,0.0002278,0.0002278
80,9979.11,0.44146,0.84228,0.37123,0.89374,0,0.9359,0.92873,0.96429,0.90364,0.93708,0.92983,0.9655,0.86345,0.34442,0.72302,0.29785,0.80185,0,0.0002179,0.0002179,0.0002179
81,10084.6,0.44195,0.83441,0.3697,0.89384,0,0.93993,0.93818,0.96585,0.90322,0.9411,0.93928,0.96712,0.86521,0.34912,0.73347,0.30135,0.80955,0,0.000208,0.000208,0.000208
82,10189.4,0.43746,0.82669,0.36684,0.89263,0,0.93764,0.94104,0.9669,0.9061,0.93516,0.94446,0.96689,0.8634,0.34163,0.71802,0.30005,0.80076,0,0.0001981,0.0001981,0.0001981
83,10295,0.43893,0.83057,0.36701,0.89198,0,0.9469,0.93957,0.96735,0.90736,0.94744,0.94014,0.96792,0.86706,0.34478,0.71044,0.29076,0.8038,0,0.0001882,0.0001882,0.0001882
84,10400.6,0.43734,0.83212,0.36557,0.89131,0,0.93094,0.94187,0.96615,0.90825,0.93207,0.94298,0.9674,0.86839,0.34481,0.72465,0.30033,0.80414,0,0.0001783,0.0001783,0.0001783
85,10506.4,0.43673,0.8304,0.36132,0.88959,0,0.93795,0.94486,0.96941,0.90952,0.9385,0.94543,0.96973,0.87001,0.34299,0.72677,0.29026,0.80381,0,0.0001684,0.0001684,0.0001684
86,10616,0.43851,0.83086,0.36242,0.89137,0,0.93272,0.94449,0.96514,0.90739,0.93472,0.94643,0.96725,0.86657,0.33823,0.71774,0.29857,0.80193,0,0.0001585,0.0001585,0.0001585
87,10722.5,0.43193,0.82314,0.36151,0.88917,0,0.93441,0.93855,0.96556,0.90793,0.93557,0.93965,0.96723,0.87002,0.34116,0.70768,0.29801,0.80239,0,0.0001486,0.0001486,0.0001486
88,10828.4,0.43329,0.82411,0.36443,0.89029,0,0.93603,0.93643,0.96696,0.9103,0.93659,0.93699,0.96721,0.87092,0.33726,0.70162,0.29401,0.80238,0,0.0001387,0.0001387,0.0001387
89,10938.3,0.43246,0.81733,0.35603,0.88816,0,0.9298,0.94308,0.96573,0.90697,0.93091,0.94419,0.96737,0.86866,0.3411,0.70848,0.2957,0.80236,0,0.0001288,0.0001288,0.0001288
90,11049.4,0.4326,0.8219,0.35681,0.88893,0,0.93402,0.9443,0.96577,0.90866,0.93497,0.94605,0.96832,0.87022,0.33427,0.70679,0.29102,0.80166,0,0.0001189,0.0001189,0.0001189
91,11196.6,0.3637,0.73178,0.28521,0.85959,0,0.9343,0.94215,0.96645,0.90271,0.93342,0.94473,0.96759,0.86333,0.35162,0.73225,0.29952,0.81168,0,0.000109,0.000109,0.000109
92,11292.8,0.34767,0.70064,0.26817,0.84938,0,0.93904,0.94469,0.96891,0.90952,0.94045,0.94502,0.96984,0.86869,0.34258,0.71345,0.28939,0.80635,0,9.91e-05,9.91e-05,9.91e-05
93,11388.2,0.34553,0.69602,0.26528,0.8526,0,0.93981,0.94454,0.96795,0.91058,0.94041,0.94507,0.96875,0.87005,0.34329,0.7182,0.29547,0.80406,0,8.92e-05,8.92e-05,8.92e-05
94,11488.4,0.34445,0.68966,0.26297,0.85004,0,0.9391,0.94209,0.96817,0.90988,0.94024,0.9432,0.96927,0.87033,0.34135,0.71437,0.29054,0.80349,0,7.93e-05,7.93e-05,7.93e-05
95,11592.2,0.33914,0.68333,0.25777,0.84667,0,0.93998,0.94451,0.96882,0.91183,0.94114,0.94561,0.96986,0.87185,0.3348,0.70856,0.28749,0.80016,0,6.94e-05,6.94e-05,6.94e-05
96,11692.8,0.3401,0.68381,0.25801,0.84878,0,0.94086,0.94597,0.96816,0.91262,0.942,0.94707,0.96927,0.8728,0.33216,0.69884,0.28595,0.79833,0,5.95e-05,5.95e-05,5.95e-05
97,11796.3,0.33386,0.67696,0.25387,0.84691,0,0.94396,0.94714,0.97015,0.91393,0.94511,0.94824,0.97131,0.87397,0.33539,0.71362,0.27866,0.80108,0,4.96e-05,4.96e-05,4.96e-05
98,11894.3,0.33593,0.67709,0.25629,0.84767,0,0.93592,0.9472,0.96856,0.91237,0.93705,0.9483,0.96982,0.87421,0.3333,0.70602,0.28459,0.79814,0,3.97e-05,3.97e-05,3.97e-05
99,11997.6,0.3303,0.66972,0.25097,0.84511,0,0.94544,0.93969,0.96935,0.915,0.94661,0.94079,0.97053,0.8748,0.33055,0.7013,0.28064,0.79755,0,2.98e-05,2.98e-05,2.98e-05
100,12105.7,0.33364,0.67443,0.25095,0.84405,0,0.9357,0.94695,0.96897,0.91358,0.93695,0.94805,0.97008,0.87447,0.33122,0.70546,0.28191,0.7971,0,1.99e-05,1.99e-05,1.99e-05
